track_name,artist_name,preview,artist_genre
School's Out,Alice Cooper,./data/School's Out,album rock blues rock classic rock detroit rock glam metal glam rock hard rock metal protopunk rock
Lust For Life,Iggy Pop,./data/Lust For Life,alternative rock classic rock glam rock new wave permanent wave post-punk protopunk punk rock
(Don't Fear) The Reaper,Blue Öyster Cult,./data/(Don't Fear) The Reaper,album rock art rock blues rock classic rock hard rock metal rock soft rock
Walk This Way,Aerosmith,./data/Walk This Way,album rock classic rock hard rock rock
Layla,Derek & The Dominos,./data/Layla,album rock art rock blues blues rock british blues classic rock country rock electric blues folk rock hard rock mellow gold psychedelic rock rock roots rock soft rock
Highway Star,Deep Purple,./data/Highway Star,album rock blues rock classic rock hard rock metal psychedelic rock rock
The Boys Are Back In Town,Thin Lizzy,./data/The Boys Are Back In Town,album rock blues rock classic rock hard rock irish rock metal rock
Stuck In The Middle With You,Stealers Wheel,./data/Stuck In The Middle With You,classic rock classic uk pop folk rock soft rock
Moonage Daydream - 2012 Remaster,David Bowie,./data/Moonage Daydream - 2012 Remaster,art rock classic rock glam rock permanent wave rock
Live And Let Die,Paul McCartney,./data/Live And Let Die,album rock beatlesque classic rock folk rock mellow gold rock soft rock
Love Will Tear Us Apart - 2010 Remaster,Joy Division,./data/Love Will Tear Us Apart - 2010 Remaster,alternative rock madchester new wave post-punk rock uk post-punk
Iron Man - 2012 - Remaster,Black Sabbath,./data/Iron Man - 2012 - Remaster,album rock birmingham metal classic rock hard rock metal rock stoner rock uk doom metal
Get It On,T. Rex,./data/Get It On,art rock classic rock folk rock glam rock protopunk psychedelic rock rock
Just What I Needed,The Cars,./data/Just What I Needed,album rock art rock classic rock hard rock mellow gold new romantic new wave new wave pop permanent wave power pop rock soft rock
Roundabout - 2003 Remaster,Yes,./data/Roundabout - 2003 Remaster,album rock art rock classic rock jazz fusion progressive rock rock symphonic rock
Heroes - 2017 Remaster,David Bowie,./data/Heroes - 2017 Remaster,art rock classic rock glam rock permanent wave rock
Brown Sugar - 2005 Digital Remaster,The Rolling Stones,./data/Brown Sugar - 2005 Digital Remaster,british invasion classic rock rock
Lola - Remastered,The Kinks,./data/Lola - Remastered,album rock art rock british invasion classic rock folk rock glam rock mellow gold protopunk psychedelic rock rock
American Girl,Tom Petty and the Heartbreakers,./data/American Girl,album rock blues rock classic rock country rock folk rock hard rock heartland rock mellow gold pop rock psychedelic rock rock roots rock soft rock
Don't Stop - 2004 Remaster,Fleetwood Mac,./data/Don't Stop - 2004 Remaster,album rock classic rock mellow gold rock soft rock yacht rock
Brain Damage,Pink Floyd,./data/Brain Damage,album rock art rock classic rock progressive rock psychedelic rock rock symphonic rock
Roxanne,The Police,./data/Roxanne,album rock art rock classic rock mellow gold new wave permanent wave rock soft rock
Heart Of Glass - Special Mix,Blondie,./data/Heart Of Glass - Special Mix,candy pop new wave pop permanent wave power pop rock
Smoke on the Water,Deep Purple,./data/Smoke on the Water,album rock blues rock classic rock hard rock metal psychedelic rock rock
Black Betty,Ram Jam,./data/Black Betty,album rock classic rock hard rock southern rock
Somebody To Love - Remastered 2011,Queen,./data/Somebody To Love - Remastered 2011,classic rock glam rock rock
Go Your Own Way - 2004 Remaster,Fleetwood Mac,./data/Go Your Own Way - 2004 Remaster,album rock classic rock mellow gold rock soft rock yacht rock
Bennie And The Jets - Remastered 2014,Elton John,./data/Bennie And The Jets - Remastered 2014,glam rock mellow gold piano rock
Life in the Fast Lane - 2013 Remaster,Eagles,./data/Life in the Fast Lane - 2013 Remaster,album rock classic rock country rock folk rock heartland rock mellow gold rock soft rock yacht rock
Carry on Wayward Son,Kansas,./data/Carry on Wayward Son,album rock art rock classic rock hard rock heartland rock mellow gold progressive rock rock soft rock symphonic rock
Message In A Bottle - Remastered 2003,The Police,./data/Message In A Bottle - Remastered 2003,album rock art rock classic rock mellow gold new wave permanent wave rock soft rock
Baba O'Riley,The Who,./data/Baba O'Riley,album rock art rock blues rock british invasion classic rock folk rock hard rock mellow gold psychedelic rock rock
I Want You to Want Me,Cheap Trick,./data/I Want You to Want Me,album rock art rock beatlesque blues rock classic rock glam metal glam rock hard rock heartland rock mellow gold new wave pop power pop rock soft rock
Bat Out of Hell,Meat Loaf,./data/Bat Out of Hell,album rock
All the Young Dudes,Mott The Hoople,./data/All the Young Dudes,album rock art rock blues rock classic rock classic uk pop folk rock glam rock hard rock power pop protopunk pub rock
Rhiannon,Fleetwood Mac,./data/Rhiannon,album rock classic rock mellow gold rock soft rock yacht rock
Born to Run,Bruce Springsteen,./data/Born to Run,classic rock heartland rock mellow gold permanent wave rock singer-songwriter soft rock
Band On The Run - Remastered 2010,Wings,./data/Band On The Run - Remastered 2010,album rock art rock beatlesque classic rock folk rock mellow gold rock soft rock
Old Time Rock & Roll,Bob Seger,./data/Old Time Rock & Roll,album rock classic rock country rock detroit rock folk rock hard rock heartland rock mellow gold rock soft rock
Runnin' with the Devil - 2015 Remaster,Van Halen,./data/Runnin' with the Devil - 2015 Remaster,album rock classic rock hard rock metal rock
Cum on Feel the Noize,Slade,./data/Cum on Feel the Noize,album rock art rock blues rock classic uk pop glam rock hard rock
No More Mr. Nice Guy,Alice Cooper,./data/No More Mr. Nice Guy,album rock blues rock classic rock detroit rock glam metal glam rock hard rock metal protopunk rock
American Pie,Don McLean,./data/American Pie,adult standards classic rock folk folk rock mellow gold singer-songwriter soft rock
Sweet Emotion,Aerosmith,./data/Sweet Emotion,album rock classic rock hard rock rock
Kashmir - Remaster,Led Zeppelin,./data/Kashmir - Remaster,album rock classic rock hard rock rock
Reelin' In The Years,Steely Dan,./data/Reelin' In The Years,album rock art rock classic rock country rock folk rock mellow gold psychedelic rock rock roots rock soft rock yacht rock
Life on Mars? - 2015 Remaster,David Bowie,./data/Life on Mars? - 2015 Remaster,art rock classic rock glam rock permanent wave rock
Livin' Thing,Electric Light Orchestra,./data/Livin' Thing,album rock art rock beatlesque classic rock glam rock mellow gold rock soft rock symphonic rock
L.A. Woman,The Doors,./data/L.A. Woman,acid rock classic rock psychedelic rock rock
Who Are You,The Who,./data/Who Are You,album rock art rock blues rock british invasion classic rock folk rock hard rock mellow gold psychedelic rock rock
T.N.T.,AC/DC,./data/T.N.T.,australian rock hard rock rock
The Passenger,Iggy Pop,./data/The Passenger,alternative rock classic rock glam rock new wave permanent wave post-punk protopunk punk rock
American Woman,The Guess Who,./data/American Woman,album rock art rock blues rock classic canadian rock classic rock country rock folk rock hard rock heartland rock mellow gold rock soft rock
Hold the Line,TOTO,./data/Hold the Line,album rock classic rock mellow gold rock soft rock yacht rock
La Grange - 2005 Remaster,ZZ Top,./data/La Grange - 2005 Remaster,album rock blues rock classic rock country rock hard rock rock
Sweet Jane - Full Length Version; 2015 Remaster,The Velvet Underground,./data/Sweet Jane - Full Length Version; 2015 Remaster,alternative rock art rock classic rock folk rock melancholia permanent wave protopunk psychedelic rock rock
We Will Rock You - Remastered 2011,Queen,./data/We Will Rock You - Remastered 2011,classic rock glam rock rock
Joy To The World,Three Dog Night,./data/Joy To The World,album rock art rock blues rock brill building pop bubblegum pop classic rock country rock folk rock hard rock heartland rock mellow gold rock roots rock soft rock
Won't Get Fooled Again - Original Album Version,The Who,./data/Won't Get Fooled Again - Original Album Version,album rock art rock blues rock british invasion classic rock folk rock hard rock mellow gold psychedelic rock rock
Breakfast In America - 2010 Remastered,Supertramp,./data/Breakfast In America - 2010 Remastered,album rock art rock classic rock glam rock mellow gold piano rock progressive rock rock soft rock
Tush - 2006 Remaster,ZZ Top,./data/Tush - 2006 Remaster,album rock blues rock classic rock country rock hard rock rock
Ramblin' Man,Allman Brothers Band,./data/Ramblin' Man,album rock blues rock classic rock country rock double drumming electric blues folk rock hard rock jam band mellow gold rock roots rock soft rock southern rock
China Grove,The Doobie Brothers,./data/China Grove,album rock blues rock classic rock country rock folk rock hard rock heartland rock mellow gold rock soft rock yacht rock
Two Princes,Spin Doctors,./data/Two Princes,alternative rock pop rock rock
Semi-Charmed Life,Third Eye Blind,./data/Semi-Charmed Life,alternative rock neo mellow pop rock post-grunge rock
Bitter Sweet Symphony,The Verve,./data/Bitter Sweet Symphony,alternative rock britpop permanent wave pop rock rock shoegaze
No Rain,Blind Melon,./data/No Rain,alternative metal alternative rock blues rock grunge pop rock rock
Mr. Jones,Counting Crows,./data/Mr. Jones,alternative rock neo mellow pop rock rock
Mmm Mmm Mmm Mmm,Crash Test Dummies,./data/Mmm Mmm Mmm Mmm,canadian rock pop rock
Iris,The Goo Goo Dolls,./data/Iris,alternative rock neo mellow permanent wave pop rock post-grunge rock
Losing My Religion,R.E.M.,./data/Losing My Religion,alternative rock athens indie classic rock permanent wave pop rock rock
Teenage Dirtbag,Wheatus,./data/Teenage Dirtbag,pop rock
Breakfast At Tiffany's,Deep Blue Something,./data/Breakfast At Tiffany's,pop rock
Ironic,Alanis Morissette,./data/Ironic,canadian pop canadian singer-songwriter lilith pop rock singer-songwriter
All Star,Smash Mouth,./data/All Star,alternative rock pop rock
Save Tonight,Eagle-Eye Cherry,./data/Save Tonight,pop rock
Closing Time,Semisonic,./data/Closing Time,alternative rock pop rock
You Get What You Give,New Radicals,./data/You Get What You Give,pop rock
Someday - Remastered,Sugar Ray,./data/Someday - Remastered,alternative metal alternative rock funk metal neo mellow pop rock post-grunge rock
Barely Breathing,Duncan Sheik,./data/Barely Breathing,pop rock
One Week,Barenaked Ladies,./data/One Week,canadian pop canadian rock comic pop rock
What's Up?,4 Non Blondes,./data/What's Up?,new wave pop pop rock
Runaway Train,Soul Asylum,./data/Runaway Train,alternative rock grunge permanent wave pop rock post-grunge rock
Buddy Holly,Weezer,./data/Buddy Holly,alternative rock modern power pop modern rock permanent wave rock
Blister in the Sun - 2002 Remastered Version,Violent Femmes,./data/Blister in the Sun - 2002 Remastered Version,acoustic punk alternative rock punk rock
Loser,Beck,./data/Loser,alternative rock anti-folk indie rock modern rock permanent wave rock
Friday I'm in Love,The Cure,./data/Friday I'm in Love,new wave permanent wave rock uk post-punk
Sunday Morning,No Doubt,./data/Sunday Morning,alternative rock dance pop dance rock permanent wave pop rock
Alright,Supergrass,./data/Alright,alternative rock britpop modern rock oxford indie pop rock rock
Only Happy When It Rains - 2015 - Remaster,Garbage,./data/Only Happy When It Rains - 2015 - Remaster,alternative dance alternative rock dance pop dance rock electronic rock lilith permanent wave pop rock rock
The Distance,CAKE,./data/The Distance,alternative rock modern rock pop rock rock sacramento indie
Flagpole Sitta,Harvey Danger,./data/Flagpole Sitta,alternative rock pop rock
Walkin' On The Sun,Smash Mouth,./data/Walkin' On The Sun,alternative rock pop rock
What's My Age Again?,blink-182,./data/What's My Age Again?,pop punk punk rock socal pop punk
My Own Worst Enemy,Lit,./data/My Own Worst Enemy,alternative rock pop punk pop rock socal pop punk
The Impression That I Get,The Mighty Mighty Bosstones,./data/The Impression That I Get,boston punk boston rock punk ska ska punk skate punk
Lovefool - Radio Edit,The Cardigans,./data/Lovefool - Radio Edit,dance pop lilith new wave pop permanent wave pop rock swedish pop
I Think I'm Paranoid - 2018 - Remaster,Garbage,./data/I Think I'm Paranoid - 2018 - Remaster,alternative dance alternative rock dance pop dance rock electronic rock lilith permanent wave pop rock rock
In the Meantime,Spacehog,./data/In the Meantime,alternative rock glam rock pop rock
Unbelievable,EMF,./data/Unbelievable,britpop dance rock grebo indietronica madchester
Santa Monica,Everclear,./data/Santa Monica,alternative metal alternative rock permanent wave pop rock post-grunge rock
The Way,Fastball,./data/The Way,pop rock
Laid,James,./data/Laid,britpop madchester new wave new wave pop permanent wave pop rock rock
Shiny Happy People,R.E.M.,./data/Shiny Happy People,alternative rock athens indie classic rock permanent wave pop rock rock
Hey Jealousy,Gin Blossoms,./data/Hey Jealousy,alternative rock neo mellow permanent wave pop rock post-grunge rock tempe indie
Dreams,The Cranberries,./data/Dreams,irish rock pop rock rock
My Favourite Game,The Cardigans,./data/My Favourite Game,dance pop lilith new wave pop permanent wave pop rock swedish pop
Stupid Girl,Garbage,./data/Stupid Girl,alternative dance alternative rock dance pop dance rock electronic rock lilith permanent wave pop rock rock
Good,Better Than Ezra,./data/Good,alternative rock pop rock post-grunge
Novocaine For The Soul,Eels,./data/Novocaine For The Soul,alternative rock melancholia rock
Everything About You,Ugly Kid Joe,./data/Everything About You,funk metal funk rock glam metal hard rock rock
Steal My Sunshine,LEN,./data/Steal My Sunshine,canadian rock
What I Got,Sublime,./data/What I Got,alternative rock reggae fusion ska mexicano ska punk
Dyslexic Heart,Paul Westerberg,./data/Dyslexic Heart,alternative country alternative pop alternative rock gbvfi pop rock power pop roots rock
Run-Around,Blues Traveler,./data/Run-Around,alternative rock blues rock jam band mellow gold pop rock rock
Better Days (And the Bottom Drops Out),Citizen King,./data/Better Days (And the Bottom Drops Out),pop rock
Inside Out,Eve 6,./data/Inside Out,alternative metal alternative rock pop rock post-grunge
I'm Gonna Be (500 Miles),The Proclaimers,./data/I'm Gonna Be (500 Miles),celtic rock scottish rock
Man On The Moon,R.E.M.,./data/Man On The Moon,alternative rock athens indie classic rock permanent wave pop rock rock
High,Feeder,./data/High,britpop modern alternative rock modern rock rock welsh rock
Shine,Collective Soul,./data/Shine,alternative metal alternative rock nu metal pop rock post-grunge rock
Hand in My Pocket - 2015 Remaster,Alanis Morissette,./data/Hand in My Pocket - 2015 Remaster,canadian pop canadian singer-songwriter lilith pop rock singer-songwriter
Don't Speak,No Doubt,./data/Don't Speak,alternative rock dance pop dance rock permanent wave pop rock
Suicide Blonde,INXS,./data/Suicide Blonde,australian rock dance rock funk rock mellow gold new romantic new wave new wave pop rock soft rock
Life Is A Highway,Tom Cochrane,./data/Life Is A Highway,album rock canadian singer-songwriter classic canadian rock mellow gold
One Headlight,The Wallflowers,./data/One Headlight,alternative rock mellow gold neo mellow pop rock post-grunge rock
Into Your Arms,The Lemonheads,./data/Into Your Arms,alternative pop alternative rock boston rock indie rock lilith pop rock power pop
High And Dry,Radiohead,./data/High And Dry,alternative rock art rock melancholia oxford indie permanent wave rock
Roll To Me,Del Amitri,./data/Roll To Me,melancholia new wave pop pop rock scottish rock
Sex & Candy,Marcy Playground,./data/Sex & Candy,alternative rock grunge pop rock post-grunge rock
Right Here Right Now,Jesus Jones,./data/Right Here Right Now,britpop dance rock grebo
Counting Blue Cars (Tell Me Your Thoughts On God),Dishwalla,./data/Counting Blue Cars (Tell Me Your Thoughts On God),pop rock post-grunge
Linger,The Cranberries,./data/Linger,irish rock pop rock rock
Little Black Backpack - Remastered,Stroke 9,./data/Little Black Backpack - Remastered,pop rock
All I Want,Toad The Wet Sprocket,./data/All I Want,alternative rock neo mellow pop rock rock
Absolutely (Story of a Girl) - Radio Mix,Nine Days,./data/Absolutely (Story of a Girl) - Radio Mix,pop rock
Wonderwall - Remastered,Oasis,./data/Wonderwall - Remastered,beatlesque britpop madchester permanent wave rock
Selling The Drama,Live,./data/Selling The Drama,alternative metal alternative rock pop rock post-grunge rock
What's My Age Again?,blink-182,./data/What's My Age Again?,pop punk punk rock socal pop punk
Misery Business,Paramore,./data/Misery Business,candy pop pixie pop emo pop punk
Monsters (feat. blackbear),All Time Low,./data/Monsters (feat. blackbear),modern rock pop punk rock
I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,./data/I Think I'm OKAY (with YUNGBLUD & Travis Barker),ohio hip hop pop rap
My Friends Over You,New Found Glory,./data/My Friends Over You,easycore emo pop punk punk skate punk
"Dance, Dance",Fall Out Boy,"./data/Dance, Dance",emo modern rock rock
Stupid For You,Waterparks,./data/Stupid For You,alt z modern rock neon pop punk pixie pop punk rock social media pop texas pop punk
Want You Bad,The Offspring,./data/Want You Bad,alternative metal permanent wave punk rock skate punk socal pop punk
I'm Just A Kid,Simple Plan,./data/I'm Just A Kid,canadian pop punk canadian punk canadian rock pop punk
Fat Lip,Sum 41,./data/Fat Lip,alternative metal canadian pop punk canadian punk nu metal pop punk punk rock
The Anthem,Good Charlotte,./data/The Anthem,alternative metal pop punk rock
Only One,Yellowcard,./data/Only One,bow pop pop punk rock socal pop punk
"Check Yes, Juliet",We The Kings,"./data/Check Yes, Juliet",neon pop punk piano rock pop emo pop punk pop rock post-teen pop
Famous Last Words,My Chemical Romance,./data/Famous Last Words,emo pop punk rock
"Dear Maria, Count Me In",All Time Low,"./data/Dear Maria, Count Me In",modern rock pop punk rock
i'm gonna tell my therapist on you,Pinkshift,./data/i'm gonna tell my therapist on you,bubblegrunge diy emo
American Idiot,Green Day,./data/American Idiot,permanent wave punk
The Middle,Jimmy Eat World,./data/The Middle,alternative rock emo modern power pop modern rock pop punk pop rock rock
